Ticker,Name,MarketCap,Sector,Industry
APA,APA Corporation,8277389824,Energy,Oil & Gas E&P
CORT,Corcept Therapeutics Incorporat,8271680512,Healthcare,Biotechnology
PCTY,Paylocity Holding Corporation,8262660096,Technology,Software - Application
LLYVA,Liberty Media Corporation - Ser,8244661760,Communication Services,Entertainment
LLYVK,Liberty Media Corporation - Ser,8236458496,Communication Services,Entertainment
BPOP,"Popular, Inc.",8168738816,Financial Services,Banks - Regional
RIOT,"Riot Platforms, Inc.",8159431680,Financial Services,Capital Markets
AAL,"American Airlines Group, Inc.",8158782976,Industrials,Airlines
NICE,NICE Ltd,8156118016,Technology,Software - Application
LYFT,"Lyft, Inc.",8151184384,Technology,Software - Application
JAZZ,Jazz Pharmaceuticals plc,8150723584,Healthcare,Biotechnology
SRAD,Sportradar Group AG,8137190912,Technology,Software - Application
APPF,"AppFolio, Inc.",8105473024,Technology,Software - Application
STEP,StepStone Group Inc.,8062774272,Financial Services,Asset Management
GH,"Guardant Health, Inc.",8057245184,Healthcare,Diagnostics & Research
