Ticker,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow
RUM,-25.935484,8.67314,0.769,,-27879058.0
EXTR,20.71212,41.25754,340.696,,149498624.0
CDTX,-13.670935,4.94993,0.466,,-100648248.0
SYNA,14.342975,1.9231515,63.295,,140500000.0
CAKE,16.867285,6.7854486,523.801,,114353504.0
POWI,81.82628,3.852338,0.0,,70245248.0
HCM,5.7999997,10.748252,8.111,,-22782250.0
DRVN,13.136,3.628729,390.414,,115309752.0
GRAL,-6.372979,1.1655505,2.686,,-142499120.0
BEAM,-5.631027,2.5112193,14.788,,-164037248.0
SGRY,16.563494,1.5199184,108.743,,162324992.0
IRON,-14.580798,4.3325615,5.035,,-88617128.0
IAC,-237.92857,0.541908,28.916,,87617000.0
SEZL,26.54374,20.354355,100.757,,35439780.0
PCT,-24.599998,26.836363,115.241,,-46893248.0
TOWN,14.437229,1.1107041,,,
MGNI,61.33333,3.4093015,80.577,,158264368.0
BLTE,-83.541664,17.442366,0.0,,
HURN,26.310644,5.091695,146.921,,139936992.0
CVBF,12.89726,1.1584128,,,
NNE,-51.75,9.4988985,1.241,,-20214068.0
GEMI,,-1.411855,,,
ACLS,16.742857,2.5211272,7.037,,67295128.0
SHOO,27.937008,3.0935566,62.439,,3526500.0
WDFC,30.059843,10.053195,41.367,,62526124.0
CPRX,12.766667,3.011437,0.349,,226085632.0
FOLD,52.718754,12.722474,216.988,,-32741124.0
XRAY,6.4375,1.3092333,127.945,,245500000.0
INOD,63.45349,30.060596,4.874,,20414876.0
BATRA,-94.78239,5.2334533,152.405,,-27625000.0
ARQT,-21.969389,18.560347,79.269,,-53092124.0
GTX,8.96831,-3.163975,,,274500000.0
VNET,-953.0,0.4146002,324.784,,-1242299008.0
BATRK,-38.85437,4.803745,152.405,,-27625000.0
DIOD,40.043797,1.3505663,5.151,,158914624.0
GSHD,59.20175,-21.770967,,,53387752.0
VICR,38.57534,4.153086,1.263,,38515752.0
BHFAP,1.2150052,0.15425976,160.021,,-1421500032.0
ADPT,-17.968084,14.301439,121.388,,-18756124.0
ALRM,21.37815,3.18,124.793,,129947752.0
NUKKW,,-0.02314116,,,
PENN,22.064102,0.8082088,371.988,,-242137504.0
IDYA,-10.492647,2.6063929,2.772,,-188326256.0
FA,13.860578,1.9289442,164.955,,57720376.0
FRPT,77.181816,2.3186164,46.204,,-18491124.0
ACMR,23.150602,2.4978876,24.115,,-75642872.0
XMTR,173.28572,9.075944,123.35,,-6709750.0
OCUL,-11.421569,6.5856414,25.15,,-115412872.0
SMPL,17.0,1.3274723,16.553,,133035624.0
IBRX,-4.063492,-4.109149,,,-249235872.0
SEDG,-16.571428,4.677958,147.999,,385188128.0
FFBC,10.032,0.93883353,,,
SPNS,35.27049,4.8266964,8.861,,51627124.0
CHEF,36.570988,4.3276114,166.758,,106234376.0
CRML,,24.626484,6.398,,10216527.0
WBTN,121.533325,1.575899,1.734,,6008750.0
DNLI,-5.943636,2.3184395,4.671,,-237644496.0
ALKT,44.666668,6.892587,117.234,,47769248.0
AGIO,3.663419,1.7527652,3.56,,-250385120.0
TVTX,-21.639343,71.73913,1220.182,,-81794376.0
PAX,27.25,4.080699,31.713,,129748496.0
TRMK,10.876405,1.1293899,,,
MRX,9.670694,2.264271,887.536,,
MESO,-32.52727,38.30835,21.451,,-55124212.0
DYN,-5.140823,3.2503002,21.188,,-222398000.0
PINC,40.875,1.4990293,19.037,,255678368.0
PRDO,15.291304,2.3200736,12.648,,153035120.0
SRPT,1.9100437,1.5741742,100.509,,-257104000.0
GLPG,-32.567307,0.84421736,0.319,,-33690752.0
WAFD,10.946768,0.83930975,,,
COGT,-7.095652,39.51574,39.125,,-126128624.0
UPWK,9.866279,3.6947527,60.929,,187839376.0
ACHC,16.072369,0.71745324,74.737,,-267134000.0
DJTWW,,0.8967358,41.51,,-1032224896.0
PGY,57.96,6.0186915,140.847,,165111632.0
FORTY,28.514055,3.0069456,46.76,,
COCO,36.3271,7.434965,4.975,,898375.0
ETNB,-5.151568,4.202672,7.21,,-257733632.0
SOXX,36.087086,0.67480636,,,
PTEN,-71.0,0.6545286,38.429,,417284128.0
CCOI,-12.869191,45.38981,5741.032,,-170508752.0
BANR,11.893333,1.1574538,,,
MQ,-26.666666,2.5572724,0.799,,30506376.0
NBTB,14.712231,1.1867112,,,
PSIX,19.324324,15.767599,109.37,,36061376.0
GCMG,63.91,-49.8,,,85766248.0
FRME,9.587013,0.91005474,,,
CELC,-15.85653,44.50956,224.034,,-73714896.0
PAYO,23.5264,4.1101327,2.806,,617331904.0
OUST,-17.94853,9.575053,7.987,,19586500.0
HUBG,21.087877,1.2717005,26.8,,135511120.0
EYE,51.413464,2.4885974,84.571,,104389000.0
OSW,30.139708,3.838734,19.988,,51981876.0
ADUS,25.292492,2.036527,21.75,,50854376.0
EFSC,10.693916,1.1229339,,,
KLIC,444.44443,2.501407,4.34,,138284752.0
ATEC,-21.66154,86.91358,1238.293,,21168250.0
BUSE,18.507936,0.86131114,,,
AVDX,29.411764,3.0211482,10.879,,56475000.0
IQ,214.00002,0.15248682,106.911,,15148687360.0
FBNC,21.183762,1.3209156,,,
SYBT,15.887357,2.02532,,,
NWL,6.305195,0.7536479,219.948,,124250000.0
APPN,153.0,-37.933884,,,70981752.0
FORD,337.71426,-16.801706,97.306,,-7115870.0
IRDM,19.11,4.292453,381.991,,284887872.0
AVAH,107.22221,-178.70369,,,68409248.0
MVST,-30.975,5.6012664,113.238,,2613875.0
EVCM,16.757576,2.7081294,73.334,,77345752.0
LFST,-30.32353,1.3608764,32.176,,121321752.0
SBLK,17.872448,0.8354798,56.475,,230331120.0
ANIP,16.244123,4.1394405,136.102,,89393504.0
